id;name;newPrice;avgPrice;bestPrice;worstPrice;percentPrice;percentDiscountPrice;umbral
104;Monster Kanzenban nº 01;14030.0;14030.0;14030.0;14030.0;100.0;0;70.0;https://www.buscalibre.cl/libro-monster-kanzenban-n-01/9788467476613/p/2863437
105;Monster Kanzenban nº 02;14030.0;14030.0;14030.0;14030.0;100.0;0;70.0;https://www.buscalibre.cl/libro-monster-kanzenban-n-02/9788467476620/p/2863674
106;Dragon Head nº 01/05;23330.0;25670.0;23330.0;27840.0;90.8843007402;9;70.0;https://www.buscalibre.cl/libro-dragon-head-n-01-05/9788491734857/p/52088145
107;Hanzô: El camino del asesino: Hanzô 1 - 2ª ed.;25620.0;28078.75;25620.0;29510.0;91.2433779994;8;70.0;https://www.buscalibre.cl/libro-hanzo-el-camino-del-asesino-hanzo-1-2-ed/9788416840656/p/48799299
108;Dragon Head nº 02/05;28210.0;30215.0;26460.0;32480.0;93.364223068;6;70.0;https://www.buscalibre.cl/libro-dragon-head-n-02-05/9788413410166/p/52388584
109;La Chica a la Orilla del mar 01;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-la-chica-a-la-orilla-del-mar-01/9788494087486/p/38211671
110;La Chica a la Orilla del mar 2;14270.0;15705.625;14270.0;16490.0;90.8591666998;9;70.0;https://www.buscalibre.cl/libro-la-chica-a-la-orilla-del-mar-2/9788494087493/p/40340360
111;Pluto nº 01/08 (Nueva Edicion);15280.0;16853.125;15280.0;18170.0;90.6656777304;9;70.0;https://www.buscalibre.cl/libro-pluto-n-01-08-nueva-edicion/9788491460299/p/48005476
112;3 x 3 Eyes 01;20360.0;22345.625;20360.0;23480.0;91.1140323889;8;70.0;https://www.buscalibre.cl/libro-3-x-3-eyes-01/9788417777906/p/51650696
113;Lobo Solitario y su Cachorro 1;11480.0;11480.0;11480.0;11480.0;100.0;0;70.0;https://www.buscalibre.cl/libro-lobo-solitario-y-su-cachorro-1/9788416693177/p/47310165
114;El Puño de la Estrella del Norte (Hokuto no Ken) nº 05/18;10970.0;11290.0;10970.0;11610.0;97.1656333038;2;70.0;https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-hokuto-no-ken-n-05-18/9788413410661/p/52672440
115;El Puño de la Estrella del Norte (Hokuto no Ken) nº 04/18;10970.0;11290.0;10970.0;11610.0;97.1656333038;2;70.0;https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-hokuto-no-ken-n-04-18/9788413410654/p/52388617
116;El Puño de la Estrella del Norte (Hokuto no Ken) nº 04/18;10970.0;11290.0;10970.0;11610.0;97.1656333038;2;70.0;https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-hokuto-no-ken-n-04-18/9788413410654/p/52388617
117;El Puño de la Estrella del Norte 2;10970.0;10970.0;10970.0;10970.0;100.0;0;70.0;https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-2/9788491738992/p/51919025
118;El Puño de la Estrella del Norte (Hokuto no Ken) nº 01;10970.0;10970.0;10970.0;10970.0;100.0;0;70.0;https://www.buscalibre.cl/libro-el-puno-de-la-estrella-del-norte-hokuto-no-ken-n-01/9788491738985/p/51447622
119;La Espada del Inmortal nº 05/15;16150.0;16625.0;16150.0;17100.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-la-espada-del-inmortal-n-05-15/9788491468462/p/50630469
120;La Espada del Inmortal Kanzenban nº 04/15;16150.0;16625.0;16150.0;17100.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-la-espada-del-inmortal-kanzenban-n-04-15/9788491468455/p/50036028
121;La Espada del Inmortal nº 03/15;16150.0;16625.0;16150.0;17100.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-la-espada-del-inmortal-n-03-15/9788491467724/p/50035801
122;La Espada del Inmortal Kanzenban nº 02/15;16150.0;16625.0;16150.0;17100.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-la-espada-del-inmortal-kanzenban-n-02-15/9788491467137/p/49584292
123;La Espada del Inmortal nº 01/15;16150.0;16625.0;16150.0;17100.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-la-espada-del-inmortal-n-01-15/9788491465799/p/49103963
124;Obra Completa: Estuche Con: Sapiens | Homo Deus | 21 Lecciones Para el Siglo Xxi: 18041 (Historia);52150.0;56980.0;52150.0;59930.0;91.5233415233;8;70.0;https://www.buscalibre.cl/libro-obra-completa-estuche-con-sapiens-homo-deus-21-lecciones-para-el-siglo-xxi-18041-historia/9788417636845/p/52135284
125;Código Limpio;52580.0;57451.875;52580.0;60430.0;91.5200765858;8;70.0;https://www.buscalibre.cl/libro-codigo-limpio/9788441532106/p/9257665
126;El Castillo de las Estrellas 01. 1869 la Conquista del Espacio;24400.0;26744.375;24400.0;28110.0;91.2341380197;8;70.0;https://www.buscalibre.cl/libro-el-castillo-de-las-estrellas-01-1869-la-conquista-del-espacio/9788467918779/p/46476857
127;Sangri-la;33240.0;37611.25;33240.0;39630.0;88.3778124896;11;70.0;https://www.buscalibre.cl/libro-sangri-la/9788416507818/p/48959550
128;Blacksad 02: Arctic Nation;21310.0;23260.625;21310.0;24560.0;91.614047344;8;70.0;https://www.buscalibre.cl/libro-blacksad-02-arctic-nation/9788484317326/p/1957605
129;Thorgal. Integral 1;38960.0;43395.0;38960.0;45690.0;89.7799285632;10;70.0;https://www.buscalibre.cl/libro-thorgal-integral-1/9788467938180/p/51971990
130;Erase una vez en Francia 01;28420.0;31126.25;28420.0;32720.0;91.3055700574;8;70.0;https://www.buscalibre.cl/libro-erase-una-vez-en-francia-01/9788467910988/p/28270644
131;Los Surcos del Azar. Edición Ampliada [Próxima Aparición];31430.0;34411.25;31430.0;36180.0;91.3364088779;8;70.0;https://www.buscalibre.cl/libro-los-surcos-del-azar-edicion-ampliada-proxima-aparicion/9788417575199/p/51648864
132;Lydie Edicion Especial;23890.0;26188.75;23890.0;27520.0;91.2223760202;8;70.0;https://www.buscalibre.cl/libro-lydie-edicion-especial/9788467920871/p/47043828
133;Jamás Tendré 20 Años.;26830.0;29396.875;26830.0;30900.0;91.2682045285;8;70.0;https://www.buscalibre.cl/libro-jamas-tendre-20-anos/9788467924701/p/47867525
134;March. Una Cronica de la Lucha por los Derechos Civiles de los Afroamericanos;32440.0;35786.25;32440.0;38920.0;90.6493415767;9;70.0;https://www.buscalibre.cl/libro-march-una-cronica-de-la-lucha-por-los-derechos-civiles-de-los-afroamericanos/9788467930498/p/50084344
135;Esta Parte me Encanta;10050.0;10385.0;10050.0;11390.0;96.7741935484;3;70.0;https://www.buscalibre.cl/libro-esta-parte-me-encanta/9789585942943/p/51615244
136;En un Rayo de sol 2ª Parte;34350.0;37588.75;34350.0;39520.0;91.3837251837;8;70.0;https://www.buscalibre.cl/libro-en-un-rayo-de-sol-2-parte/9788417442385/p/51538659
137;En un Rayo de sol #1 Parte;34350.0;37588.75;34350.0;39520.0;91.3837251837;8;70.0;https://www.buscalibre.cl/libro-en-un-rayo-de-sol-1-parte/9788417442330/p/51431000
138;Piruetas;38470.0;42084.375;38470.0;44250.0;91.4115987228;8;70.0;https://www.buscalibre.cl/libro-piruetas/9788416400812/p/49088450
139;Me Estas Escuchando?;35960.0;39348.75;35960.0;41380.0;91.3879093999;8;70.0;https://www.buscalibre.cl/libro-me-estas-escuchando/9788417442620/p/52792017
